"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","20000","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","20006","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","20412","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","20622","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","21028","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","21868","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","2693","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","","..","","","0"
"2008/2009","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","2473","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","3186","","","","0"
"2010/2011","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","3327","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","3427","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","3564","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","3708","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","3708","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","3819","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","3933","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","4053","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","4134","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","4215","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","4300","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","4344","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","4431","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427353","3.9","4610","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Current dollars","75","units","0","v1073542376","3.10","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Current dollars","75","units","0","v1073542376","3.10","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Current dollars","75","units","0","v1073542376","3.10","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Current dollars","75","units","0","v1073542376","3.10","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Current dollars","75","units","0","v1073542376","3.10","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Current dollars","75","units","0","v1073542376","3.10","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Engineering","Current dollars","75","units","0","v1001399414","3.11","4053","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Engineering","Current dollars","75","units","0","v1001399414","3.11","4134","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Engineering","Current dollars","75","units","0","v1001399414","3.11","4215","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Engineering","Current dollars","75","units","0","v1001399414","3.11","4300","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Engineering","Current dollars","75","units","0","v1001399414","3.11","4344","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Engineering","Current dollars","75","units","0","v1001399414","3.11","4431","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Engineering","Current dollars","75","units","0","v1001399414","3.11","4610","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Architecture","Current dollars","75","units","0","v1073542377","3.12","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Architecture","Current dollars","75","units","0","v1073542377","3.12","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Architecture","Current dollars","75","units","0","v1073542377","3.12","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Architecture","Current dollars","75","units","0","v1073542377","3.12","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Architecture","Current dollars","75","units","0","v1073542377","3.12","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Architecture","Current dollars","75","units","0","v1073542377","3.12","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399415","3.13","4053","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399415","3.13","4134","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399415","3.13","4215","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399415","3.13","4300","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399415","3.13","4344","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399415","3.13","4431","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399415","3.13","4610","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Dentistry","Current dollars","75","units","0","v1073542378","3.14","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Dentistry","Current dollars","75","units","0","v1073542378","3.14","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Dentistry","Current dollars","75","units","0","v1073542378","3.14","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Dentistry","Current dollars","75","units","0","v1073542378","3.14","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Dentistry","Current dollars","75","units","0","v1073542378","3.14","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Dentistry","Current dollars","75","units","0","v1073542378","3.14","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Medicine","Current dollars","75","units","0","v1073542379","3.15","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Medicine","Current dollars","75","units","0","v1073542379","3.15","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Medicine","Current dollars","75","units","0","v1073542379","3.15","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Medicine","Current dollars","75","units","0","v1073542379","3.15","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Medicine","Current dollars","75","units","0","v1073542379","3.15","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Medicine","Current dollars","75","units","0","v1073542379","3.15","","..","","","0"
"2013/2014","Prince Edward Island","2016A000211","Nursing","Current dollars","75","units","0","v88837652","3.16","3708","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Nursing","Current dollars","75","units","0","v88837652","3.16","3708","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Nursing","Current dollars","75","units","0","v88837652","3.16","3819","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Nursing","Current dollars","75","units","0","v88837652","3.16","3933","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Nursing","Current dollars","75","units","0","v88837652","3.16","4053","","","","0"
